Aaliyah	Arabic, Hebrew	high exalted, to ascend
Fuscienne	Latin	black
Gabby		God is my strength.
Gabi		God is my strength.
Gabriel	Hebrew	God is my strength. One of the archangels in the Bible. A boy or girl's name.
Gabriela		God is my strength.
Gabriella		God is my strength.
Gabrielle		God is my strength.
Gaby		God is my strength.
Gadar	Armenian	Perfection.
Gae		Blithe, cheerful.
Gaea	Greek	Goddess of the Earth
Gai		Blithe, cheerful.
Gaia	Greek	The earth. The earth goddess in Greek mythology.
Gail	Hebrew	Father's joy. A short form of Abigail, but also used independently.
Gainell	unknown	to profit
Gaines	Middle English	increase in wealth
Gajendra	Hindu	elephant king
Gala	Swedish	singer
Galatea	Greek	Milky white. A figure from Greek mythology.
Gale		A stranger. A boy or girl's name.
Galen	Greek	The calm one, or the helper. A boy or girl's name.
Galena	Latin	A lead-like metal.
Gali	Hebrew	spring, fountain
Galia	Hebrew	A wave.
Galiena	Teutonic	A lofty maiden.
Galina	Russian from Greek	Calm. Also see Helen.
Galya	Hebrew	God has redeemed.
Gana	Hebrew	A garden.
Ganesa	Hindu	good luck
Gardenia		A flower name.
Gargi	Hindu	
Garland	Old French	A crown or wreath of flowers. A boy or girl's name.
Garnet	Old French	Dark red, from the colour of pomegranates. Also the name of a gemstone. A boy or girl's name.
Gauri	Hindu	yellow
Gavrila	Hebrew	A heroine.
Gay	Old French	Blithe, cheerful.
Gayatri	Hindu	mother of the Vedas
Gaye		Merry, happy.
Gayle	Hebrew	Father's joy. A boy or girl's name.
Gayleen	Hebrew	Father's joy. A short form of Abigail, but also used independently.
Gaylene	Hebrew	Father's joy. A short form of Abigail, but also used independently.
Gaynor	Welsh	Fair and soft. See Guinevere.
Gazelle	Latin	The antelope.
Gebriele	Hebrew	A woman of God. The feminine form of Gabriel.
Gedala	Aboriginal	The day.
Gelasia	Greek	Laughing, like a bubbling spring.
Gelsey	Persian	a flower
Gemina	Greek	A twin.
Gemma	Italian	A jewel or gem.
Gena		Noble, wellborn.
Gene	Greek	Noble, wellborn. A boy or girl's name.
Genesia	Latin	The newcomer.
Genesis	Hebrew	origin
Genette		God is gracious. The feminine form of John. Also see Janelle, Janet, Janice, Janine, Jean, Joan, Joanne, Shane, Sim.
Geneva		After the city in Switzerland. Also see Genevieve.
Genevieve	Old French	A woman of the people.
Genie		Noble, wellborn.
Genista	Latin	From the name of the broom plant.
Genji	Chinese	gold
Genna		Fair and soft. Also a variation of Guinevere.
Gennifer		Fair and soft. Also a variation of Guinevere.
Genny		Fair and soft. Also a variation of Guinevere.
Georgette		A girl from the farm. The feminine form of George.
Georgia		A girl from the farm. The feminine form of George.
Georgina	Greek	A girl from the farm. The feminine form of George.
Geraldine	English from Old French	A noble spear-carrier. The feminine form of Gerald. Also see Gerarda.
Geranium	Greek	A flower name.
Gerarda	English from Old French	A brave spear woman. The feminine form of Gerard. Also see Geraldine.
Gerda	Old Norse	Protected one.
Gerlinde	Teutonic	Of the weak spear.
Germaine	French	From Germany.
Gerry	English from Old French	A spear warrior. A boy or girl's name.
Gertrude	Teutonic	A spear maiden.
Geva	Hebrew	hill
Ghada	Arabic	Graceful.
Ghera	Aboriginal	A gum leaf.
Ghislain		A pledge.
Ghislaine	French	A pledge.
Ghita	Italian	Pearl.
Giacinta	Italian	Young and beautiful.
Gianina	Italian	God is gracious. .
Gianna	Italian	God is gracious. .
Gigi	French	A girl from the farm. The feminine form of George.
Gil		Short for names beginning with Gil.
Gilana	Hebrew	Joy.
Gilberta	Teutonic	A bright or famous pledge. The feminine form of Gilbert.
Gilda	Teutonic	A sacrifice.
Gilen	Teutonic	industrious pledge
Gili		My joy, rejoice.
Gillian	Latin	From a Roman family name. The feminine form of Julian and a derivative of Julia.
Gin	Japanese	silver
Gina	Greek	A girl from the farm. From Georgina. The feminine form of George.
Ginette		A woman of the people.
Ginevra	Italian	A woman of the people.
Ginger		Maidenly, pure. Also name of a spice.
Ginny		Maidenly, pure. From the name Virginia.
Giorgetta	Italian	A girl from the farm. The feminine form of George.
Giorgia		A girl from the farm. The feminine form of George.
Giorgio		A girl from the farm. The feminine form of George.
Giovanna	Italian	God is gracious. .
Girija	Hindu	
Gisela	Dutch/Greman	A pledge.
Giselle	Teutonic	A pledge.
Gita	Sanskrit	A song.
Gitana	Spanish	The gipsy.
Gitanjali	Hindu	
Githa	Anglo-Saxon	gift
Gitika	Hindu	
Giulia	Italian	From a Roman, possibly meaning youthful.
Giulietta	Italian	From a Roman, possibly meaning youthful.
Giuseppina	Italian	God shall add. .
Gizane	Basque	christ's incarnation
Gladys	Welsh	The lame one. Possibly a form of Claudia.
Gleda	Old English	to make happy
Glen	Gaelic/Welsh/Cornish	From the valley or glen. A boy or girl's name.
Glenda	Welsh	Pure and good. Also see Glenys.
Glenna	Gaelic	from the valley
Glennis		From the valley or glen.
Glenys	Welsh	Holy, pure. Also see Glenda.
Glora		Glorious.
Gloria	Latin	Glorious.
Glynis		Holy, pure. Also see Glenda.
Glynnis		Holy, pure. Also see Glenda.
Godiva	Old English	The gift of God.
Goldie	English	The golden one. Also a form of the Yiddish name Golda.
Goneril		From Shakespeare's play King Lear.
Gordana	Serbian	proud
Gotzone	Basque	angel, messenger
Grace	Latin	Graceful.
Gracie		Graceful.
Graeae	Greek	gray ones
Grania	Irish Gaelic	The name of a figure in Irish legend.
Grear	Scottish	watchful
Greer	Scottish	Watchful, vigilant.
Gregoria	Greek	Watchful, vigilant.
Greta	German/Swedish	A pearl. Also see Margot, Marguerite, Megan.
Gretchen	German	A pearl. Also see Margot, Marguerite, Megan.
Grete		A pearl. Also see Margot, Marguerite, Megan.
Gretel	Swiss	A pearl. Also see Margot, Marguerite, Megan.
Grette	Danish	pearl
Grier	Scottish	Watchful, vigilant.
Griselda	Teutonic	The grey battle heroine.
Gryffyn	Comish/Welsh	Mythological beast. A boy or girl's name.
Guadalupe	Arabic	The river of the wolf. Generally a Spanish name.
Guan-yin	Chinese	The goddess of mercy.
Guda	Old English	Good.
Guddu	Hindu	
Gudrun	Old Norse	Divine lore or wisdom.
Guenevere		Fair one.
Guida	Latin	The guide.
Guinevere	Welsh	Fair and soft. Wife of legendary King Arthur. Also see Gaynor, Jennifer and Vanora.
Gulara	Aboriginal	Moonlight.
Gunda		Female warrior.
Gunnhild	Old Norse	A maiden of battle.
Gurley	Aboriginal	A native willow.
Guyra	Aboriginal	A fishing place, or a white cockatoos. Also a placename.
Gwen	Welsh	Fair, or blessed. Also see Gwendolen and Gwyneth.
Gwendolen	Welsh	A white ring or bow.
Gwendolyn		Goddess of the moon.
Gwenhyvar	Welsh	Gwen
Gwennap	Cornish	The name of a saint and a placename.
Gwyn	Welsh	White, fair, or blessed. A boy or girl's name.
Gwyneth	Welsh	From a region of North Wales.
G?lay	Turkish	rosemoon
Gymea	Aboriginal	A small bird.
Gypsy	Old English	A wanderer.
Gytha	Old English	Warlike.
Ha-Neul	Korean	sky
Habiba	Arabic	The beloved, the dew one.
Habika	African	sweetheart
Hadara	Hebrew	bedecked in beauty
Hadassa	Hebrew	flowering myrtle
Hadassah	Jewish	A star. Also see Estelle, Hesper and Stella.
Hadil	Arabic	Cooing like a dove.
Hadiya	Arabic/Swahili	A gift.
Hadria		A dark woman from the sea. The feminine form of Adrian. Generally an Italian name.
Hadya	Arabic	A leader or guide.
Hafwen	Welsh	As beautiful as summer.
Hagar	Hebrew	Forsaken, or taking flight.
Haidee	Greek	Modest.
Haifa	Arabic	slender
Haimi	Hawaiian	the seeker
Haja		
Hala	Arabic	A halo around the moon.
Halcyone	Greek	The kingfisher.
Haldana	Old Norse	Half Danish.
Haldis	Teutonic, Norse	stone spirit; reliable, assistant
Haleigha	Hawaiian	house of the rising sun
Haley	Irish Gaelic	Ingenious. A boy or girl's name.
Halfrida	Teutonic	A peaceful heroine.
Hali	Greek, Hebrew	sea; necklace, place name
Halia	Greek	The sun.
Haliey		A high clearing or meadow.
Halima	African	gentle
Hallie	Greek	thinking of the sea
Halona	Native American	Fortunate.
Hana	Arabic	Bliss, happiness.
Hanan	Hebrew	Arabic: The affectionate one. Hebrew: The gracious gift of God. A boy or girl's name.
Hanna		Goddess of life.
Hannah	Hebrew	Favoured by God, or graceful. Also see Anne.
Hanne		God is gracious. .
Hansine	German from Hebrew	God is gracious. A feminine form of Ham.
Hanya	Aboriginal	A stone.
Happy	English	Bright and cheerful.
Haralda	Old English	The ruler of the army. Feminine form of Harold.
Harika	Turkish	wonderful
Harley	Old English	From the hare or stag meadow. A boy or girl's name.
Harmony	Greek	Concordant, in harmony.
Harper	Old English	A harp player or maker. A boy or girl's name.
Harriet	Teutonic	The ruler of the home. A feminine form of Harry/Henry. Also see Henrietta.
Harsha	Hindu	
Harshita	Hindu	
Haruko	Japanese	Spring.
Harva		Army warrior. Feminine form of Harvey.
Hasina	Swahili	Good.
Hasna	Arabic	beautiful
Hathor	Egyptian	The goddess of love and joy.
Hattie		The ruler of the home. A feminine form of Harry/ Henry. Also see Henrietta.
Hava	Jewish	Life-giving. Also see Evelyn.
Havana	Spanish	The capital of Cuba.
Haya	Hebrew	Life.
Hayfa	Arabic	Slender, delicate.
Haylee	Old English	from the hay meadow
Hayley	Old English	A high clearing or meadow.
Hazel	Old English	From the Hazel tree.
Hazelle		From the Hazel tree.
Hea	Korean	grace
Heater		A star. Also see Estelle, Hesper and Stella.
Heather	Old English	A flower name.
Heba	Hebrew	gift from God
Hebe	Greek	Youthful. A goddess of youth in mythology.
Hedasaa	Jewish	A star. Also see Estelle, Hesper and Stella.
Hedda	Scandinavian	The contentious one. A fighter.
Hedea	Greek	Pleasing.
Hedia	Hebrew	voice of the Lord
Hedva	Hebrew	joy
Hedwig	Teutonic	The contentious one. A fighter.
Hedy		The contentious one. A fighter.
Heidi	Swiss	Noble and kind. From the name Adelheid (See Adelaide), well known from Johanna Spyri's classic children's book.
Heledd	Welsh	A traditional name.
Helen	Greek	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Helena		The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Helene	French	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Helga	Old Norse	Successful, prosperous. Also see Olga.
Heli	Finish	
Helice	Greek	A spiel.
Helima	Arabic	Kind, gentle.
Helina	Russian	The light of the sun.
Helki	Miwok Indian	to touch
Helma	German	The resolute protector. From the name Wilhelmina.
Helmine	German	The resolute protector. From the name Wilhelmina.
Heloise		Agreeable.
Helouse		Healthy.
Helvetia	Latin	A woman from Switzerland.
Hem	Hindu	
Hema	Hindu	snow, himalayas
Hemangi	Hindu	
Hemangini	Hindu	
Hemlata	Hindu	
Heng	Chinese	
Henka	Teutonic	ruler of an estate
Henrietta	Teutonic	The ruler of the home. A feminine form of Henry. Also see Harriet.
Hera	Latin from Greek	A quern. The wife of Zeus, ruler of the heavens, in Greek mythology.
Hermelinda	Spanish	shield of power
Hermia		From Shakespeare's play Midsummer-Night's Dream.
Herminia	Spanish	lady of the earth
Hermione	Greek	A handsome figure in Greek mythology. The feminine form of Achilles.
Hermosa	Spanish	Beautiful.
Hero		From Shakespeare's play Much Ado About Nothing.
Herschell	unknown	deer
Herta		Of the earth.
Hertha		Of the earth.
Hesper	Greek	The evening star. Also see Esther.
Hester		Star.
Hestia	Greek	The goddess of the hearth.
Hetal	Hindu	
Hettie		The ruler of the home. A feminine form of Harry/Henry. Also see Henrietta.
Hetty		The ruler of the home. A feminine form of Harry/Henry. Also see Henrietta.
Hibernia	Latin	A woman from Ireland.
Hibiscus	Greek	A flower name.
Hide	Japanese	Excellent, fruitful.
Hidi	African	Root.
Hika	Polynesian	A daughter.
Hilary	Latin	The cheerful one. A boy or girl's name.
Hilda	Teutonic	A battle maiden.
Hilde		A battle maiden.
Hildegard	Teutonic	A battle stronghold.
Hildemar	Teutonic	Battle-celebrated.
Hillary		The cheerful one. Originally used as a boy's name.
Hilzarie		Moon and stars.
Hina	Hindu	
Hinda	Jewish	A female deer.
Hine	Polynesian	A maiden.
Hippolyta	Greek	She who frees the horses. Also from Shakespeare's play Midsummer-Night's Dream.
Hiriwa	Polynesian	Silver.
Hiroko	Japanese	Generous.
Hisa	Japanese	long-lasting
Hjordis	Old Norse	A sword goddess.
Hoku	Polynesian	A star.
Holda	Teutonic	Concealed.
Holli	Teutonic	From the name Holly.
Holly	Old English	From the name of the tree. Suitable for a child born around Christmas.
Hollye	Teutonic	From the name Holly.
Honey	Old English	The sweet one.
Honna	Greek	Na
Honora	Latin	honor
Honour	Latin	Honourable.
Hope	Old English	Hopeful, optimistic.
Horatia	Latin	From a Roman family name. The feminine form of Horace.
Hortense	Latin	The garden lover.
Hoshi	Japanese	A star.
Hua	Chinese	A flower.
Huberta	Teutonic	A brilliant mind. The feminine form of the boy's name of Hubert.
Hue	Vietnamese	lily
Huette	French from Teutonic	Heart and mind. The feminine form of Hugh.
Hulda	Hebrew/Old Norse	Hebrew: A weasel. Old Norse: Lovable.
Huon		The name of a Tasmanian river and a type of tree. A boy or girl's name.
Huyana	Native American	rain fallingHindu
Hyacinth	Greek	Young and beautiful. Also a flower name. Also see Jacinta.
Hye	unknown	gracefulness
Hylda		A battle maiden.
Hypatia	Greek	The highest.
Ianna		God is gracious. Feminine form of Ian.
Ianthe	Greek	A violet-coloured flower. Also see lolanthe.
Ida	Teutonic	Happy, or youthful.
Ideh	Hebrew	praise
Idelia	Teutonic	Noble.
Idola	Greek	idolized
Idona	Old Norse	After the name of a Norse goddess who was in charge of the apples of eternal youth.
Idonia	Old German	industrious
Idra	Aramaic	A Figtree.
Idylla	Greek	Perfect.
Ierne	Latin	From Ireland.
Ignatia	Latin	Ardent, fiery. Feminine form of Ignatius.
Iku	Japanese	Nourishing.
Ila	Old French	From the island.
Ilana	Hebrew	Great tree.
Ilanna	Hebrew	A tree.
Ilaria	Latin	one who is merry
Ildiko	Hungarian	a fierce warrior
Ileana	Greek	From the city of (Lion). Also a Romania form of Helen.
Ilena		The light of the sun. The Irish form of Helen.
Ilene		The light of the sun. The Irish form of Helen.
Ilisapesi	Tonga	blessed one
Ilka		The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Illona	Irish	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Ilona		Hungarian form of Helen.
Ilsa		Consecrated to God. Also see Isabel and Lisa.
Ilse	German	Short form of Elizabeth, meaning consecrated to God.
Iluka	Aboriginal	Near the sea.
Ima	Japanese	Now, the present.
Imam	Arabic	One who believes in God. A boy or girl's name.
Iman	Arabic	faith, belief
Imelda	Italian/Spanish	A floret.
Immacolata	Italian	The immaculate conception.
Imogen	Celtic/Latin	Celtic: A girl or maiden. Latin: The image of her mother.
Imogen	Celtic/Latin	Celtic: A girl or maiden. Latin: The image of her mother.
Imogene	Latin	image
Imperia	Latin	Imperious, the imperial one.
Ina		Pure, chaste.
Inari	Finnish	A lake.
Inas	Polynesian	The wife of the moon.
Inayat	Hindu	kindness
Indaliai	sea-feather, feather from the sea shore	
India		From the name of the country. Also a character in the novel and film, Gone with the Wind.
Indira	Sanskrit	An alternative name for Lakshmi, wife of the god Vishnu.
Indrina	Hindu	deep
Indu	Hindu	
Ines		Pure, chaste.
Inez		Pure, chaste.
Inga	Old Norse	Hero's daughter.
Ingaberg	Old Norse	Hero's daughter.
Ingaborg	Old Norse	Hero's daughter.
Inge	Old Norse	Hero's daughter.
Inger	Old Norse	A son's army or a Hero's daughter. A boy or girl's name.
Ingrid	Old Norse	Hero's daughter.
Iniga		Ardent, fiery. Feminine form of Ignatius.
Innocentia	Latin	Innocent.
Io	Greek	
Iola	Greek	Violet-coloured.
Iolana	Hawaiian	to soar like an eagle
Iolanthe	Greek	A violet flower. The title of a Gilbert and Sullivan opera. Also see Ianthe, Violet and Yolanda.
Iona	Scottish/Aboriginal	Scottish: The name of a Hebridean island. Aboriginal: A tree.
